icao,iata,synop,name,state,country,lat,lon,elev,priority,srcid,ctf_low,ctf_high,ctp_low,ctp_high,blmult
,,,190425_175647_001_j01,,,-0.74,-77.14,509,green,190425_175647_001_j01,0,59,906,356,0.9
,,,190425_175647_002_j01,,,-0.54,-75.95,235,yellow,190425_175647_002_j01,11,82,595,380,1.0
,,,190425_175647_003_j01,,,-0.38,-74.96,191,red,190425_175647_003_j01,15,78,823,435,1.16
,,,190425_175647_004_j01,,,-0.24,-74.11,134,red,190425_175647_004_j01,0,90,946,408,0.37
,,,190425_175647_005_j01,,,-0.11,-73.36,149,red,190425_175647_005_j01,0,79,945,488,0.31
,,,190425_175647_006_j01,,,0.01,-72.69,222,yellow,190425_175647_006_j01,49,15,574,327,1.0
,,,190425_175647_007_j01,,,0.11,-72.08,197,red,190425_175647_007_j01,6,77,865,238,1.09
,,,190425_175647_008_j01,,,0.21,-71.52,164,red,190425_175647_008_j01,0,76,942,322,0.22
,,,190425_175647_009_j01,,,0.31,-70.99,197,red,190425_175647_009_j01,60,24,328,227,1.08
,,,190425_175647_010_j01,,,0.4,-70.5,211,green,190425_175647_010_j01,17,22,434,211,1.01
,,,190425_175647_011_j01,,,0.48,-70.02,196,green,190425_175647_011_j01,16,39,555,232,1.08
,,,190425_175647_012_j01,,,0.56,-69.57,163,yellow,190425_175647_012_j01,49,34,411,247,0.21
,,,190425_175647_013_j01,,,0.64,-69.13,99,green,190425_175647_013_j01,16,32,695,362,0.46
,,,190425_175647_014_j01,,,0.72,-68.69,99,yellow,190425_175647_014_j01,22,40,424,199,0.44
,,,190425_175647_015_j01,,,0.8,-68.27,98,red,190425_175647_015_j01,20,78,719,150,0.45
,,,190425_175647_016_j01,,,0.88,-67.84,91,red,190425_175647_016_j01,0,88,949,191,0.48
,,,190425_175647_017_j01,,,0.96,-67.41,82,red,190425_175647_017_j01,14,80,560,239,0.52
,,,190425_175647_018_j01,,,1.04,-66.98,88,red,190425_175647_018_j01,10,86,613,273,0.5
,,,190425_175647_019_j01,,,1.12,-66.54,108,red,190425_175647_019_j01,0,94,948,209,0.41
,,,190425_175647_020_j01,,,1.2,-66.08,526,red,190425_175647_020_j01,0,87,902,217,0.76
,,,190425_175647_021_j01,,,1.28,-65.61,544,red,190425_175647_021_j01,17,74,616,250,0.66
,,,190425_175647_022_j01,,,1.37,-65.11,500,green,190425_175647_022_j01,0,66,904,294,0.82
,,,190425_175647_023_j01,,,1.47,-64.58,556,green,190425_175647_023_j01,0,20,897,247,0.59
,,,190425_175647_024_j01,,,1.56,-64.02,375,green,190425_175647_024_j01,16,7,570,229,0.3
,,,190425_175647_025_j01,,,1.67,-63.4,241,yellow,190425_175647_025_j01,0,63,932,240,0.84
,,,190425_175647_026_j01,,,1.79,-62.73,357,yellow,190425_175647_026_j01,0,72,919,183,0.37
,,,190425_175647_027_j01,,,1.91,-61.97,247,yellow,190425_175647_027_j01,31,20,607,214,0.81
,,,190425_175647_028_j01,,,2.06,-61.12,105,yellow,190425_175647_028_j01,64,3,653,122,0.39
,,,190425_175647_029_j01,,,2.22,-60.12,239,green,190425_175647_029_j01,59,6,670,409,0.83
,,,190425_175647_030_j01,,,2.41,-58.91,246,green,190425_175647_030_j01,37,7,593,196,0.82
,,,190425_175647_031_j01,,,-0.27,-77.25,899,green,190425_175647_031_j01,50,36,548,365,0.36
,,,190425_175647_032_j01,,,-0.08,-76.06,253,yellow,190425_175647_032_j01,0,84,933,349,0.91
,,,190425_175647_033_j01,,,0.09,-75.07,183,red,190425_175647_033_j01,0,89,941,454,1.18
,,,190425_175647_034_j01,,,0.23,-74.22,157,red,190425_175647_034_j01,0,88,944,387,0.27
,,,190425_175647_035_j01,,,0.36,-73.47,265,red,190425_175647_035_j01,0,82,932,464,0.84
,,,190425_175647_036_j01,,,0.48,-72.8,482,yellow,190425_175647_036_j01,31,24,504,253,0.96
,,,190425_175647_037_j01,,,0.58,-72.19,236,red,190425_175647_037_j01,26,72,782,241,0.94
,,,190425_175647_038_j01,,,0.68,-71.62,236,yellow,190425_175647_038_j01,36,45,417,222,0.92
,,,190425_175647_039_j01,,,0.78,-71.1,188,green,190425_175647_039_j01,0,69,939,211,1.12
,,,190425_175647_040_j01,,,0.87,-70.6,215,green,190425_175647_040_j01,0,28,936,223,1.0
,,,190425_175647_041_j01,,,0.95,-70.13,191,green,190425_175647_041_j01,0,23,939,357,1.11
,,,190425_175647_042_j01,,,1.03,-69.68,137,green,190425_175647_042_j01,34,8,486,225,0.31
,,,190425_175647_043_j01,,,1.11,-69.23,98,green,190425_175647_043_j01,0,25,949,430,0.46
,,,190425_175647_044_j01,,,1.19,-68.8,95,yellow,190425_175647_044_j01,4,42,871,478,0.46
,,,190425_175647_045_j01,,,1.27,-68.37,89,red,190425_175647_045_j01,1,27,656,160,0.49
,,,190425_175647_046_j01,,,1.35,-67.95,112,red,190425_175647_046_j01,26,67,650,211,0.4
,,,190425_175647_047_j01,,,1.43,-67.52,165,red,190425_175647_047_j01,0,98,941,187,0.19
,,,190425_175647_048_j01,,,1.51,-67.08,102,red,190425_175647_048_j01,0,96,948,194,0.44
,,,190425_175647_049_j01,,,1.59,-66.64,59,red,190425_175647_049_j01,0,88,953,171,0.61
,,,190425_175647_050_j01,,,1.67,-66.18,149,red,190425_175647_050_j01,0,3,943,300,0.25
,,,190425_175647_051_j01,,,1.75,-65.71,368,red,190425_175647_051_j01,0,90,918,234,0.36
,,,190425_175647_052_j01,,,1.84,-65.21,382,green,190425_175647_052_j01,17,50,391,260,0.28
,,,190425_175647_053_j01,,,1.94,-64.68,471,green,190425_175647_053_j01,7,37,670,323,0.92
,,,190425_175647_054_j01,,,2.03,-64.12,555,green,190425_175647_054_j01,16,27,366,266,0.58
,,,190425_175647_055_j01,,,2.14,-63.51,674,red,190425_175647_055_j01,31,28,615,265,1.11
,,,190425_175647_056_j01,,,2.25,-62.83,485,yellow,190425_175647_056_j01,1,64,717,198,0.86
,,,190425_175647_057_j01,,,2.38,-62.08,267,green,190425_175647_057_j01,20,37,558,177,0.72
,,,190425_175647_058_j01,,,2.52,-61.22,129,green,190425_175647_058_j01,45,11,649,209,0.27
,,,190425_175647_059_j01,,,2.69,-60.22,173,yellow,190425_175647_059_j01,98,0,618,391,1.1
,,,190425_175647_060_j01,,,2.88,-59.01,218,green,190425_175647_060_j01,34,4,660,211,0.93
,,,190425_175647_061_j01,,,0.19,-77.35,1412,yellow,190425_175647_061_j01,51,32,572,449,0.43
,,,190425_175647_062_j01,,,0.39,-76.16,337,yellow,190425_175647_062_j01,13,52,707,344,0.54
,,,190425_175647_063_j01,,,0.56,-75.17,212,red,190425_175647_063_j01,0,82,937,489,1.04
,,,190425_175647_064_j01,,,0.7,-74.32,185,red,190425_175647_064_j01,18,80,778,331,1.15
,,,190425_175647_065_j01,,,0.83,-73.57,245,red,190425_175647_065_j01,28,64,673,410,0.92
,,,190425_175647_066_j01,,,0.95,-72.9,457,yellow,190425_175647_066_j01,43,44,471,228,1.05
,,,190425_175647_067_j01,,,1.05,-72.29,287,red,190425_175647_067_j01,0,92,929,230,0.73
,,,190425_175647_068_j01,,,1.15,-71.73,254,red,190425_175647_068_j01,14,83,794,321,0.85
,,,190425_175647_069_j01,,,1.25,-71.2,244,red,190425_175647_069_j01,0,67,933,301,0.89
,,,190425_175647_070_j01,,,1.33,-70.71,197,green,190425_175647_070_j01,0,20,938,267,1.08
,,,190425_175647_071_j01,,,1.42,-70.24,174,green,190425_175647_071_j01,0,9,941,315,1.18
,,,190425_175647_072_j01,,,1.5,-69.78,187,green,190425_175647_072_j01,0,7,939,232,1.12
,,,190425_175647_073_j01,,,1.58,-69.34,130,green,190425_175647_073_j01,16,26,861,224,0.33
,,,190425_175647_074_j01,,,1.66,-68.91,140,yellow,190425_175647_074_j01,43,5,683,359,0.28
,,,190425_175647_075_j01,,,1.74,-68.48,188,red,190425_175647_075_j01,40,7,484,201,1.09
,,,190425_175647_076_j01,,,1.82,-68.05,216,red,190425_175647_076_j01,0,88,936,175,0.99
,,,190425_175647_077_j01,,,1.9,-67.62,201,red,190425_175647_077_j01,43,36,605,260,1.05
,,,190425_175647_078_j01,,,1.98,-67.19,159,red,190425_175647_078_j01,0,0,942,300,0.21
,,,190425_175647_079_j01,,,2.06,-66.75,41,red,190425_175647_079_j01,0,10,955,300,0.69
,,,190425_175647_080_j01,,,2.14,-66.29,105,red,190425_175647_080_j01,10,86,649,267,0.42
,,,190425_175647_081_j01,,,2.22,-65.81,124,yellow,190425_175647_081_j01,3,90,721,307,0.33
,,,190425_175647_082_j01,,,2.31,-65.32,226,yellow,190425_175647_082_j01,12,67,450,262,0.91
,,,190425_175647_083_j01,,,2.4,-64.79,278,green,190425_175647_083_j01,23,31,334,251,0.7
,,,190425_175647_084_j01,,,2.5,-64.22,793,green,190425_175647_084_j01,26,26,506,226,0.66
,,,190425_175647_085_j01,,,2.61,-63.61,800,green,190425_175647_085_j01,39,6,589,256,0.62
,,,190425_175647_086_j01,,,2.72,-62.93,413,green,190425_175647_086_j01,17,41,659,199,1.15
,,,190425_175647_087_j01,,,2.85,-62.18,257,red,190425_175647_087_j01,27,27,421,193,0.78
,,,190425_175647_088_j01,,,2.99,-61.32,120,green,190425_175647_088_j01,19,28,540,161,0.3
,,,190425_175647_089_j01,,,3.15,-60.32,129,green,190425_175647_089_j01,0,12,944,191,0.27
,,,190425_175647_090_j01,,,3.34,-59.12,194,green,190425_175647_090_j01,25,4,567,190,1.02
,,,190425_175647_091_j01,,,0.66,-77.46,2206,yellow,190425_175647_091_j01,60,40,570,638,0.36
,,,190425_175647_092_j01,,,0.86,-76.27,498,green,190425_175647_092_j01,70,14,521,341,0.89
,,,190425_175647_093_j01,,,1.02,-75.28,302,red,190425_175647_093_j01,57,41,758,464,0.67
,,,190425_175647_094_j01,,,1.17,-74.43,219,red,190425_175647_094_j01,8,78,672,337,1.01
,,,190425_175647_095_j01,,,1.3,-73.68,274,red,190425_175647_095_j01,15,61,564,285,0.8
,,,190425_175647_096_j01,,,1.41,-73.01,381,red,190425_175647_096_j01,0,92,919,281,0.37
,,,190425_175647_097_j01,,,1.52,-72.4,331,red,190425_175647_097_j01,0,89,924,244,0.55
,,,190425_175647_098_j01,,,1.62,-71.84,298,red,190425_175647_098_j01,0,91,927,258,0.67
,,,190425_175647_099_j01,,,1.72,-71.31,254,red,190425_175647_099_j01,0,90,932,337,0.84
,,,190425_175647_100_j01,,,1.8,-70.81,178,green,190425_175647_100_j01,0,31,940,375,1.15
,,,190425_175647_101_j01,,,1.89,-70.34,171,green,190425_175647_101_j01,0,7,941,309,0.18
,,,190425_175647_102_j01,,,1.97,-69.89,193,green,190425_175647_102_j01,0,15,939,280,1.09
,,,190425_175647_103_j01,,,2.05,-69.44,180,green,190425_175647_103_j01,0,71,940,221,1.13
,,,190425_175647_104_j01,,,2.13,-69.01,166,green,190425_175647_104_j01,13,22,591,222,0.18
,,,190425_175647_105_j01,,,2.21,-68.58,181,red,190425_175647_105_j01,46,8,485,221,1.13
,,,190425_175647_106_j01,,,2.29,-68.16,180,red,190425_175647_106_j01,0,16,940,300,1.14
,,,190425_175647_107_j01,,,2.37,-67.73,184,red,190425_175647_107_j01,0,0,939,260,1.12
,,,190425_175647_108_j01,,,2.45,-67.29,152,red,190425_175647_108_j01,0,43,943,300,0.25
,,,190425_175647_109_j01,,,2.53,-66.85,85,red,190425_175647_109_j01,0,92,950,231,0.51
,,,190425_175647_110_j01,,,2.61,-66.39,115,red,190425_175647_110_j01,0,87,947,273,0.38
,,,190425_175647_111_j01,,,2.69,-65.92,88,yellow,190425_175647_111_j01,5,88,748,299,0.47
,,,190425_175647_112_j01,,,2.78,-65.42,147,green,190425_175647_112_j01,29,58,605,266,0.23
,,,190425_175647_113_j01,,,2.87,-64.89,327,green,190425_175647_113_j01,0,60,923,270,0.51
,,,190425_175647_114_j01,,,2.97,-64.33,915,green,190425_175647_114_j01,18,13,382,201,1.18
,,,190425_175647_115_j01,,,3.08,-63.71,696,green,190425_175647_115_j01,36,6,664,249,1.04
,,,190425_175647_116_j01,,,3.19,-63.04,395,green,190425_175647_116_j01,31,7,587,220,0.22
,,,190425_175647_117_j01,,,3.32,-62.28,209,red,190425_175647_117_j01,34,11,459,206,0.96
,,,190425_175647_118_j01,,,3.46,-61.42,117,yellow,190425_175647_118_j01,0,57,945,176,0.3
,,,190425_175647_119_j01,,,3.62,-60.42,121,green,190425_175647_119_j01,22,19,836,212,0.29
,,,190425_175647_120_j01,,,3.81,-59.22,174,green,190425_175647_120_j01,27,26,703,242,1.09
,,,190425_175719_001_j01,,,1.12,-77.56,2512,yellow,190425_175719_001_j01,38,32,510,382,0.21
,,,190425_175719_002_j01,,,1.32,-76.37,1315,yellow,190425_175719_002_j01,92,0,476,263,0.8
,,,190425_175719_003_j01,,,1.49,-75.38,482,green,190425_175719_003_j01,0,76,910,539,1.06
,,,190425_175719_004_j01,,,1.64,-74.53,309,red,190425_175719_004_j01,40,36,657,366,0.76
,,,190425_175719_005_j01,,,1.77,-73.78,285,red,190425_175719_005_j01,14,69,549,339,0.84
,,,190425_175719_006_j01,,,1.88,-73.11,313,red,190425_175719_006_j01,0,89,928,274,0.72
,,,190425_175719_007_j01,,,1.99,-72.5,305,red,190425_175719_007_j01,0,88,929,272,0.75
,,,190425_175719_008_j01,,,2.09,-71.94,292,red,190425_175719_008_j01,0,84,930,285,0.79
,,,190425_175719_009_j01,,,2.19,-71.42,268,red,190425_175719_009_j01,39,45,336,285,0.89
,,,190425_175719_010_j01,,,2.27,-70.92,199,green,190425_175719_010_j01,0,14,941,271,1.16
,,,190425_175719_011_j01,,,2.36,-70.45,159,green,190425_175719_011_j01,0,19,945,435,0.32
,,,190425_175719_012_j01,,,2.44,-69.99,147,green,190425_175719_012_j01,0,15,946,226,0.36
